time,open,high,low,close,EMA_9,EMA_21,EMA_50,RSI_9,RSI_14,RSI_21,WILLR_15,WILLR_23,WILLR_42,WILLR_145,SAR,BB_upper,BB_middle,BB_lower,BB_width,MACD,MACD_signal,MACD_hist,CCI_14,rolling_mean_open,rolling_std_open,rolling_mean_close,rolling_std_close,rolling_mean_high,rolling_std_high,rolling_mean_low,rolling_std_low,open_lag_1,close_lag_1,high_lag_1,low_lag_1,open_lag_2,close_lag_2,high_lag_2,low_lag_2,open_lag_3,close_lag_3,high_lag_3,low_lag_3,open_lag_4,close_lag_4,high_lag_4,low_lag_4,open_lag_5,close_lag_5,high_lag_5,low_lag_5,b_flag,s_flag
2010-07-23,1.0377,1.04311,1.03454,1.03572,1.0424714306010383,1.0431076893129052,1.0406518584671647,43.441531478164,46.106556245905544,47.93394110289603,-79.58010497375659,-78.7339268051436,-61.347205078469536,-53.64001301942064,1.032189711642624,1.0684383963868966,1.0465444999999995,1.0246506036131025,0.04378779277379419,1.1049313216382473e-05,0.0009353647717421605,-0.000924315458525778,-49.24229486172267,1.048236,0.008098927706795862,1.0439219999999998,0.007870411043898302,1.051974,0.006393874412274204,1.039412,0.006606252341532832,1.04899,1.03762,1.05024,1.03545,1.04272,1.04901,1.05007,1.03506,1.05459,1.04269,1.05852,1.04218,1.05718,1.05457,1.05793,1.04983,1.03816,1.05806,1.05809,1.03779,0,0
2010-07-26,1.03779,1.03838,1.03023,1.03199,1.0403751444808307,1.0420969902844592,1.0403121777429623,40.75375647580641,44.29309360900381,46.690020689832615,-88.90277430642342,-88.90277430642342,-66.32105165710061,-57.68688293370947,1.05852,1.0686605007628809,1.0463754999999995,1.024090499237118,0.04457000152576285,-0.0008592813568393254,0.0005764355460258633,-0.0014357169028651887,-80.45064991472078,1.044358,0.007353568521468687,1.039406,0.006610501493829287,1.0480639999999999,0.0076877974739147596,1.035492,0.004286976790234852,1.0377,1.03572,1.04311,1.03454,1.04899,1.03762,1.05024,1.03545,1.04272,1.04901,1.05007,1.03506,1.05459,1.04269,1.05852,1.04218,1.05718,1.05457,1.05793,1.04983,0,0
2010-07-27,1.03203,1.03943,1.0255,1.0349,1.0392801155846645,1.0414427184404176,1.0400999354785323,43.80530167330649,46.07507957787487,47.79969605516651,-73.11981698598836,-77.65097479790809,-60.93316052582867,-54.52967342953244,1.0579542,1.0678919915314362,1.0453969999999997,1.0229020084685632,0.04498998306287305,-0.0012992352281726571,0.00020130139118615923,-0.0015005366193588164,-73.84732944520871,1.039846,0.006359931603403472,1.0378479999999999,0.00656082083278614,1.044246,0.005673211612475514,1.032156,0.004271385021280087,1.03779,1.03199,1.03838,1.03023,1.0377,1.03572,1.04311,1.03454,1.04899,1.03762,1.05024,1.03545,1.04272,1.04901,1.05007,1.03506,1.05459,1.04269,1.05852,1.04218,0,0
2010-07-28,1.03526,1.03896,1.02982,1.03836,1.0390960924677315,1.0411624713094705,1.0400317027146684,47.42735193507755,48.19694766990956,49.12187707956096,-61.053906723198246,-69.42463147884004,-54.52693945565643,-50.77574047954869,1.056656032,1.0653396580147185,1.0441674999999997,1.0229953419852809,0.04234431602943767,-0.0013531109367308503,-0.00010958107439724269,-0.0012435298623336075,-41.653569015129584,1.038354,0.006392106851420881,1.035718,0.002508230451916702,1.042024,0.004951709805705928,1.0311080000000001,0.004015939491578184,1.03203,1.0349,1.03943,1.0255,1.03779,1.03199,1.03838,1.03023,1.0377,1.03572,1.04311,1.03454,1.04899,1.03762,1.05024,1.03545,1.04272,1.04901,1.05007,1.03506,0,0
2010-07-29,1.03826,1.039,1.03023,1.03551,1.0383788739741853,1.0406486102813368,1.0398543810395833,44.75425478967583,46.57139313726968,48.06884966524994,-69.68503937007902,-76.20066571564466,-59.80374004813935,-53.86785288054687,1.05540979072,1.063540948936377,1.0430444999999995,1.022548051063622,0.04099289787275495,-0.0016072516093992295,-0.00040911518139764006,-0.0011981364280015895,-49.05430759089313,1.036208,0.0026121772527907994,1.035296,0.002274869226993646,1.039776,0.0019007972011557514,1.0300639999999999,0.0032007545985312286,1.03526,1.03836,1.03896,1.02982,1.03203,1.0349,1.03943,1.0255,1.03779,1.03199,1.03838,1.03023,1.0377,1.03572,1.04311,1.03454,1.04899,1.03762,1.05024,1.03545,0,0
2010-07-30,1.0355,1.03743,1.02633,1.02945,1.0365930991793482,1.0396305548012152,1.0394463660968545,39.43718824885635,43.23248368146134,45.873307215428085,-88.03755299818317,-90.60865430337637,-71.02388446583971,-60.44266030161659,1.0542133990912,1.0607110572051401,1.0414054999999995,1.022099942794859,0.0386111144102812,-0.002271467217793033,-0.0007815855886767187,-0.0014898816291163141,-85.58380691631261,1.0357680000000002,0.0024799737901842886,1.034042,0.0034217495524839223,1.0386400000000002,0.000772625394301979,1.028422,0.0023133676750618456,1.03826,1.03551,1.039,1.03023,1.03526,1.03836,1.03896,1.02982,1.03203,1.0349,1.03943,1.0255,1.03779,1.03199,1.03838,1.03023,1.0377,1.03572,1.04311,1.03454,0,0
2010-08-02,1.02853,1.02942,1.02034,1.02354,1.0339824793434784,1.038167777092014,1.0388225870342327,34.889414727904224,40.205108858128966,43.823606826193966,-91.61864850707208,-93.223210504024,-81.96630253656753,-66.85472496473918,1.0530648631275519,1.057400216658887,1.0394109999999996,1.0214217833411123,0.035978433317774616,-0.003237431387129508,-0.0012727547483672766,-0.0019646766387622313,-141.3838566002682,1.033916,0.003733353720184556,1.032352,0.005887152962164834,1.0368480000000002,0.004221145579095569,1.026444,0.003996689880391504,1.0355,1.02945,1.03743,1.02633,1.03826,1.03551,1.039,1.03023,1.03526,1.03836,1.03896,1.02982,1.03203,1.0349,1.03943,1.0255,1.03779,1.03199,1.03838,1.03023,0,0
2010-08-03,1.02359,1.02723,1.02187,1.02385,1.0319559834747827,1.0368661609927399,1.0382354267583804,35.32948893344313,40.44070298950568,43.96151190275347,-90.80670508119456,-92.56670902160123,-81.39233475282371,-66.51838993164812,1.0511013713398987,1.0557495156166912,1.0378919999999996,1.020034484383308,0.035715031233383154,-0.003932617771799096,-0.0018047273530536405,-0.0021278904187454557,-128.64641088193954,1.032228,0.006011952261955309,1.0301420000000001,0.0067083060454878815,1.034408,0.005642328420068699,1.025718,0.004508022848214593,1.02853,1.02354,1.02942,1.02034,1.0355,1.02945,1.03743,1.02633,1.03826,1.03551,1.039,1.03023,1.03526,1.03836,1.03896,1.02982,1.03203,1.0349,1.03943,1.0255,0,0
2010-08-04,1.02399,1.02698,1.01624,1.01803,1.029170786779826,1.0351537827206727,1.0374430570815811,30.916094403016594,37.45684877670787,41.932307687773,-95.76631977294238,-96.51208106001567,-92.13169642857152,-72.83280894000218,1.0492556890595048,1.0556323094643842,1.0364069999999994,1.0171816905356146,0.038450618928769664,-0.004896736816519587,-0.0024231292457468296,-0.0024736075707727572,-135.32173432753453,1.029974,0.006667895470090099,1.026076,0.006642829216526306,1.032012,0.005768316045425383,1.0230020000000002,0.005417838129736683,1.02359,1.02385,1.02723,1.02187,1.02853,1.02354,1.02942,1.02034,1.0355,1.02945,1.03743,1.02633,1.03826,1.03551,1.039,1.03023,1.03526,1.03836,1.03896,1.02982,0,0
2010-08-05,1.01804,1.01864,1.01067,1.01708,1.026752629423861,1.033510711564248,1.03664450582348,30.22279134892528,36.97724918162482,41.603176116807646,-86.6039707419017,-88.73264194058707,-88.73264194058707,-73.86351307366824,1.0466144339347445,1.0557540449707163,1.0350849999999994,1.0144159550292824,0.04133808994143395,-0.005672080947665137,-0.003072919586130491,-0.002599161361534646,-153.8111023106188,1.02593,0.006516060926670463,1.02239,0.005012569201511601,1.02794,0.00671130017209085,1.0190899999999998,0.005931429001516802,1.02399,1.01803,1.02698,1.01624,1.02359,1.02385,1.02723,1.02187,1.02853,1.02354,1.02942,1.02034,1.0355,1.02945,1.03743,1.02633,1.03826,1.03551,1.039,1.03023,0,0
