run_id,adj_takeprofit,WIN/LOSS-Diff_4,WIN/LOSS-Diff_5,overall_precision,BreakEvenRatio,no_of_trades,false_positives,true_positives,early_stopping_triggered,precision,overall_trades,--dataset_name,--class_weight_0,--class_weight_1,--max_features,--n_components,--n_estimators,--random_state,--stop_loss,--take_profit,--threshold,precision_split_1,precision_split_2,precision_split_3,precision_split_4,precision_split_5
HD_ad895514-2477-44a0-a558-813316025b39_574,,7.46,12.82,0.38247566063977745,0.3333333333333333,"[228, 221, 142, 76, 52]","[142, 144, 85, 45, 28]","[86, 77, 57, 31, 24]",,,719,USDCAD_D1_2010to101124,6,20,sqrt,15,120,42,2,4,0.55,0.37719298245614036,0.34841628959276016,0.4014084507042254,0.40789473684210525,0.46153846153846156
HD_ad895514-2477-44a0-a558-813316025b39_333,,7.43,17.86,0.3451086956521739,0.25,"[109, 109, 92, 37, 21]","[75, 74, 55, 25, 12]","[34, 35, 37, 12, 9]",,,368,USDCAD_D1_2010to101124,1,10,sqrt,15,150,8,1,3,0.55,0.3119266055045872,0.3211009174311927,0.40217391304347827,0.32432432432432434,0.42857142857142855
HD_ad895514-2477-44a0-a558-813316025b39_480,,7.27,,0.31097560975609756,0.2,"[99, 110, 57, 33, 29]","[62, 75, 40, 24, 25]","[37, 35, 17, 9, 4]",True,0.13793103448275862,328,USDCAD_D1_2010to101124,20,1,log2,15,100,0,1,4,0.55,0.37373737373737376,0.3181818181818182,0.2982456140350877,0.2727272727272727,0.13793103448275862
HD_ad895514-2477-44a0-a558-813316025b39_238,,7.27,,0.34444444444444444,0.2,"[11, 12, 29, 22, 16]","[6, 5, 17, 16, 15]","[5, 7, 12, 6, 1]",True,0.0625,90,USDCAD_D1_2010to101124,6,10,log2,30,50,8,1,4,0.55,0.45454545454545453,0.5833333333333334,0.41379310344827586,0.2727272727272727,0.0625
HD_ad895514-2477-44a0-a558-813316025b39_382,,7.25,9.52,0.36234567901234566,0.3333333333333333,"[631, 495, 272, 138, 84]","[396, 330, 177, 82, 48]","[235, 165, 95, 56, 36]",,,1620,USDCAD_D1_2010to101124,1,10,sqrt,30,100,0,2,4,0.5,0.3724247226624406,0.3333333333333333,0.3492647058823529,0.4057971014492754,0.42857142857142855
HD_ad895514-2477-44a0-a558-813316025b39_368,,7.2,13.16,0.5274542429284526,0.5,"[837, 766, 430, 257, 114]","[412, 378, 194, 110, 42]","[425, 388, 236, 147, 72]",,,2404,USDCAD_D1_2010to101124,6,20,sqrt,15,150,8,3,3,0.56,0.5077658303464755,0.5065274151436031,0.5488372093023256,0.5719844357976653,0.631578947368421
HD_ad895514-2477-44a0-a558-813316025b39_605,,7.19,6.98,0.46222050886661525,0.4,"[849, 801, 492, 303, 149]","[472, 449, 235, 160, 79]","[377, 352, 257, 143, 70]",,,2594,USDCAD_D1_2010to101124,20,1,sqrt,15,120,42,2,3,0.5,0.44405182567726736,0.4394506866416979,0.5223577235772358,0.47194719471947194,0.4697986577181208
HD_ad895514-2477-44a0-a558-813316025b39_580,,7.08,,0.4677137870855148,0.3333333333333333,"[363, 327, 234, 146, 76]","[182, 173, 114, 87, 54]","[181, 154, 120, 59, 22]",True,0.2894736842105263,1146,USDCAD_D1_2010to101124,5,1,sqrt,25,200,26,1,2,0.5,0.4986225895316804,0.4709480122324159,0.5128205128205128,0.4041095890410959,0.2894736842105263
HD_ad895514-2477-44a0-a558-813316025b39_742,,7.0,16.67,0.5481325618095739,0.5,"[627, 620, 360, 207, 87]","[296, 297, 148, 89, 29]","[331, 323, 212, 118, 58]",,,1901,USDCAD_D1_2010to101124,10,15,sqrt,15,250,42,3,3,0.6,0.5279106858054227,0.5209677419354839,0.5888888888888889,0.5700483091787439,0.6666666666666666
HD_ad895514-2477-44a0-a558-813316025b39_401,,7.0,1.67,0.4647058823529412,0.25,"[48, 49, 33, 25, 15]","[27, 22, 14, 17, 11]","[21, 27, 19, 8, 4]",,,170,USDCAD_D1_2010to101124,20,6,sqrt,20,120,0,1,3,0.6,0.4375,0.5510204081632653,0.5757575757575758,0.32,0.26666666666666666
HD_ad895514-2477-44a0-a558-813316025b39_308,,6.97,2.22,0.3832528180354267,0.3333333333333333,"[206, 188, 115, 67, 45]","[121, 122, 71, 40, 29]","[85, 66, 44, 27, 16]",,,621,USDCAD_D1_2010to101124,20,6,sqrt,15,100,0,2,4,0.6,0.41262135922330095,0.35106382978723405,0.3826086956521739,0.40298507462686567,0.35555555555555557
HD_ad895514-2477-44a0-a558-813316025b39_282,,6.92,,0.35714285714285715,0.2,"[28, 38, 31, 26, 17]","[17, 20, 19, 19, 15]","[11, 18, 12, 7, 2]",True,0.11764705882352941,140,USDCAD_D1_2010to101124,20,10,sqrt,15,250,42,1,4,0.56,0.39285714285714285,0.47368421052631576,0.3870967741935484,0.2692307692307692,0.11764705882352941
HD_ad895514-2477-44a0-a558-813316025b39_718,,6.9,,0.5930196322842007,0.5,"[1027, 885, 641, 420, 236]","[388, 360, 258, 181, 119]","[639, 525, 383, 239, 117]",True,0.4957627118644068,3209,USDCAD_D1_2010to101124,20,1,sqrt,10,120,42,1,1,0.5,0.6222005842259006,0.5932203389830508,0.5975039001560063,0.569047619047619,0.4957627118644068
HD_ad895514-2477-44a0-a558-813316025b39_507,,6.87,5.12,0.49387254901960786,0.4,"[547, 526, 285, 192, 82]","[286, 270, 123, 102, 45]","[261, 256, 162, 90, 37]",,,1632,USDCAD_D1_2010to101124,15,5,sqrt,15,200,26,2,1,0.56,0.47714808043875684,0.4866920152091255,0.5684210526315789,0.46875,0.45121951219512196
HD_ad895514-2477-44a0-a558-813316025b39_312,,6.82,,0.35772357723577236,0.25,"[30, 28, 31, 22, 12]","[20, 18, 16, 15, 10]","[10, 10, 15, 7, 2]",True,0.16666666666666666,123,USDCAD_D1_2010to101124,6,10,log2,15,120,42,1,3,0.6,0.3333333333333333,0.35714285714285715,0.4838709677419355,0.3181818181818182,0.16666666666666666
HD_ad895514-2477-44a0-a558-813316025b39_90,,6.75,8.92,0.4614770459081836,0.4,"[874, 731, 453, 308, 139]","[465, 421, 228, 164, 71]","[409, 310, 225, 144, 68]",,,2505,USDCAD_D1_2010to101124,20,6,sqrt,10,150,0,2,1,0.5,0.4679633867276888,0.4240766073871409,0.4966887417218543,0.4675324675324675,0.4892086330935252
HD_ad895514-2477-44a0-a558-813316025b39_489,,6.67,9.64,0.47368421052631576,0.4,"[833, 690, 443, 270, 139]","[427, 391, 218, 144, 70]","[406, 299, 225, 126, 69]",,,2375,USDCAD_D1_2010to101124,10,6,sqrt,10,250,8,2,1,0.5,0.48739495798319327,0.43333333333333335,0.5079006772009029,0.4666666666666667,0.49640287769784175
HD_ad895514-2477-44a0-a558-813316025b39_351,,6.67,,0.3844086021505376,0.25,"[96, 100, 84, 60, 32]","[53, 65, 45, 41, 25]","[43, 35, 39, 19, 7]",True,0.21875,372,USDCAD_D1_2010to101124,20,5,log2,15,100,0,1,3,0.55,0.4479166666666667,0.35,0.4642857142857143,0.31666666666666665,0.21875
HD_ad895514-2477-44a0-a558-813316025b39_657,,6.67,9.17,0.40253164556962023,0.3333333333333333,"[114, 117, 79, 45, 40]","[71, 70, 45, 27, 23]","[43, 47, 34, 18, 17]",,,395,USDCAD_D1_2010to101124,15,15,log2,15,150,0,2,4,0.6,0.37719298245614036,0.4017094017094017,0.43037974683544306,0.4,0.425
HD_ad895514-2477-44a0-a558-813316025b39_484,,6.67,14.29,0.39082969432314413,0.25,"[139, 122, 109, 60, 28]","[80, 78, 63, 41, 17]","[59, 44, 46, 19, 11]",,,458,USDCAD_D1_2010to101124,6,20,sqrt,15,200,0,1,3,0.5,0.4244604316546763,0.36065573770491804,0.42201834862385323,0.31666666666666665,0.39285714285714285
