run_id,adj_takeprofit,WIN/LOSS-Diff_4,WIN/LOSS-Diff_5,overall_precision,BreakEvenRatio,no_of_trades,false_positives,true_positives,early_stopping_triggered,precision,overall_trades,--dataset_name,--class_weight_0,--class_weight_1,--max_features,--n_components,--n_estimators,--random_state,--stop_loss,--take_profit,--threshold,precision_split_1,precision_split_2,precision_split_3,precision_split_4,precision_split_5
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_592,,,,0.463855421686747,0.5,166,89,77,True,0.463855421686747,166,EURUSD_D1_2010to101124,6,20,sqrt,25,120,0,3,3,0.6,0.463855421686747,,,,
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_591,,,,0.4407894736842105,0.42857142857142855,"[211, 93]","[115, 55]","[96, 38]",True,0.40860215053763443,304,EURUSD_D1_2010to101124,5,10,sqrt,20,200,0,3,4,0.5,0.4549763033175355,0.40860215053763443,,,
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_590,,,,0.13333333333333333,0.25,15,13,2,True,0.13333333333333333,15,EURUSD_D1_2010to101124,1,6,sqrt,10,250,42,1,3,0.6,0.13333333333333333,,,,
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_588,,,,0.4462025316455696,0.5,316,175,141,True,0.4462025316455696,316,EURUSD_D1_2010to101124,15,5,log2,25,150,42,3,3,0.56,0.4462025316455696,,,,
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_587,,,,0.22727272727272727,0.25,"[36, 30]","[27, 24]","[9, 6]",True,0.2,66,EURUSD_D1_2010to101124,10,6,sqrt,30,100,8,1,3,0.5,0.25,0.2,,,
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_585,,,,0.4,0.42857142857142855,145,87,58,True,0.4,145,EURUSD_D1_2010to101124,15,20,sqrt,15,120,26,3,4,0.56,0.4,,,,
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_583,,,,0.4350515463917526,0.5,485,274,211,True,0.4350515463917526,485,EURUSD_D1_2010to101124,5,10,log2,10,250,42,3,3,0.5,0.4350515463917526,,,,
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_582,,,,0.23728813559322035,0.2,"[30, 16, 8, 5]","[22, 12, 6, 5]","[8, 4, 2, 0]",True,0.0,59,EURUSD_D1_2010to101124,6,6,log2,20,200,0,1,4,0.5,0.26666666666666666,0.25,0.25,0.0,
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_581,,,,0.24193548387096775,0.25,"[60, 64]","[41, 53]","[19, 11]",True,0.171875,124,EURUSD_D1_2010to101124,5,6,sqrt,10,150,42,1,3,0.5,0.31666666666666665,0.171875,,,
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_579,,,,0.5,0.2,"[2, 2]","[0, 2]","[2, 0]",True,0.0,4,EURUSD_D1_2010to101124,5,20,log2,30,100,26,1,4,0.5,1.0,0.0,,,
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_578,,,,0.1875,0.2,16,13,3,True,0.1875,16,EURUSD_D1_2010to101124,15,6,log2,30,250,8,1,4,0.55,0.1875,,,,
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_576,,,,0.39766081871345027,0.42857142857142855,171,103,68,True,0.39766081871345027,171,EURUSD_D1_2010to101124,6,20,log2,10,50,8,3,1,0.56,0.39766081871345027,,,,
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_577,,,,0.3853211009174312,0.3333333333333333,"[84, 25]","[49, 18]","[35, 7]",True,0.28,109,EURUSD_D1_2010to101124,15,20,log2,25,200,42,1,2,0.56,0.4166666666666667,0.28,,,
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_575,,,,0.35789473684210527,0.3333333333333333,"[63, 32]","[39, 22]","[24, 10]",True,0.3125,95,EURUSD_D1_2010to101124,15,20,sqrt,30,150,0,1,2,0.56,0.38095238095238093,0.3125,,,
HD_c4ecb4ba-2554-4aab-84ed-b37285d3fb15_571,,,,0.4270833333333333,0.42857142857142855,96,55,41,True,0.4270833333333333,96,EURUSD_D1_2010to101124,20,20,log2,30,100,0,3,2,0.56,0.4270833333333333,,,,
